啊,啊,甲
矮,矮,甲
愛,爱,甲
愛人,爱人,甲
安靜,安静,甲
安排,安排,甲
八,八,甲
吧,吧,甲
把,把,甲
爸爸,爸爸,甲
白,白,甲
百,百,甲
擺,摆,甲
班,班,甲
搬,搬,甲
辦,办,甲
辦法,办法,甲
辦公室,办公室,甲
半,半,甲
半天,半天,甲
幫助,帮助,甲
飽,饱,甲
報,报,甲
抱,抱,甲
杯,杯,甲
杯子,杯子,甲
北,北,甲
北邊,北边,甲
倍,倍,甲
被,被,甲
本,本,甲
本子,本子,甲
比,比,甲
比較,比较,甲
比賽,比赛,甲
筆,笔,甲
必須,必须,甲
邊,边,甲
變,变,甲
變成,变成,甲
變化,变化,甲
遍,遍,甲
表,表,甲
表示,表示,甲
表現,表现,甲
表演,表演,甲
表揚,表扬,甲
别,别,甲
别的,别的,甲
别人,别人,甲
病,病,甲
不,不,甲
不錯,不错,甲
不但,不但,甲
不久,不久,甲
不如,不如,甲
不同,不同,甲
不要,不要,甲
不用,不用,甲
布,布,甲
部分,部分,甲
擦,擦,甲
才,才,甲
菜,菜,甲
參觀,参观,甲
參加,参加,甲
操場,操场,甲
草,草,甲
層,层,甲
查,查,甲
茶,茶,甲
差,差,甲
長,长,甲
常,常,甲
常常,常常,甲
場,场,甲
唱,唱,甲
朝,朝,甲
車,车,甲
車站,车站,甲
成,成,甲
成績,成绩,甲
城,城,甲
城市,城市,甲
吃,吃,甲
遲到,迟到,甲
抽,抽,甲
出,出,甲
出發,出发,甲
出來,出来,甲
出去,出去,甲
出現,出现,甲
出租汽車,出租汽车,甲
除了...以外,除了...以外,甲
穿,穿,甲
船,船,甲
窗,窗,甲
窗戶,窗户,甲
床,床,甲
吹,吹,甲
春,春,甲
春天,春天,甲
詞,词,甲
詞典,词典,甲
磁帶,磁带,甲
次,次,甲
從,从,甲
從...到...,从...到...,甲
從...起,从...起,甲
從前,从前,甲
錯,错,甲
錯誤,错误,甲
打,打,甲
打算,打算,甲
大,大,甲
大夫,大夫,甲
大概,大概,甲
大家,大家,甲
大聲,大声,甲
大學,大学,甲
代表,代表,甲
帶,带,甲
戴,戴,甲
但是,但是,甲
當,当,甲
當然,当然,甲
刀,刀,甲
倒,倒,甲
到,到,甲
道,道,甲
道理,道理,甲
得,得,甲
得到,得到,甲
得很,得很,甲
的,的,甲
燈,灯,甲
等,等,甲
低,低,甲
地,地,甲
地方,地方,甲
弟弟,弟弟,甲
第,第,甲
點,点,甲
點心,点心,甲
點鐘,点钟,甲
電,电,甲
電車,电车,甲
電燈,电灯,甲
電話,电话,甲
電視,电视,甲
電影,电影,甲
掉,掉,甲
丟,丢,甲
東,东,甲
東邊,东边,甲
東西,东西,甲
冬,冬,甲
冬天,冬天,甲
懂,懂,甲
動,动,甲
動物,动物,甲
都,都,甲
讀,读,甲
短,短,甲
段,段,甲
鍛鍊,锻炼,甲
對,对,甲
對不起,对不起,甲
頓,顿,甲
多,多,甲
多麼,多么,甲
多少,多少,甲
餓,饿,甲
兒子,儿子,甲
而且,而且,甲
二,二,甲
發,发,甲
發燒,发烧,甲
發生,发生,甲
發現,发现,甲
發展,发展,甲
法語,法语,甲
翻,翻,甲
翻譯,翻译,甲
反對,反对,甲
飯,饭,甲
飯店,饭店,甲
方便,方便,甲
方法,方法,甲
方面,方面,甲
方向,方向,甲
房間,房间,甲
訪問,访问,甲
放,放,甲
放假,放假,甲
飛,飞,甲
飛機,飞机,甲
非常,非常,甲
分,分,甲
...分之...,...分之...,甲
分鐘,分钟,甲
豐富,丰富,甲
風,风,甲
封,封,甲
夫人,夫人,甲
服務,服务,甲
服務員,服务员,甲
輔導,辅导,甲
父親,父亲,甲
負責,负责,甲
附近,附近,甲
複習,复习,甲
複雜,复杂,甲
該,该,甲
改,改,甲
改變,改变,甲
干,干,甲
幹部,干部,甲
乾淨,干净,甲
敢,敢,甲
感到,感到,甲
感冒,感冒,甲
感謝,感谢,甲
剛,刚,甲
剛才,刚才,甲
鋼筆,钢笔,甲
高,高,甲
高興,高兴,甲
搞,搞,甲
告訴,告诉,甲
哥哥,哥哥,甲
歌,歌,甲
個,个,甲
各,各,甲
各種,各种,甲
給,给,甲
根,根,甲
跟,跟,甲
更,更,甲
工廠,工厂,甲
工人,工人,甲
工業,工业,甲
工作,工作,甲
公共汽車,公共汽车,甲
公斤,公斤,甲
公里,公里,甲
公園,公园,甲
夠,够,甲
姑娘,姑娘,甲
故事,故事,甲
刮,刮,甲
掛,挂,甲
關,关,甲
關係,关系,甲
關心,关心,甲
館,馆,甲
廣播,广播,甲
貴,贵,甲
貴姓,贵姓,甲
國,国,甲
國家,国家,甲
過,过,甲
過來,过来,甲
過去,过去,甲
哈哈,哈哈,甲
孩子,孩子,甲
海,海,甲
寒假,寒假,甲
喊,喊,甲
漢語,汉语,甲
漢字,汉字,甲
好,好,甲
好吃,好吃,甲
好處,好处,甲
好看,好看,甲
好像,好像,甲
號,号,甲
喝,喝,甲
合適,合适,甲
和,和,甲
河,河,甲
黑,黑,甲
黑板,黑板,甲
很,很,甲
紅,红,甲
後,后,甲
後邊,后边,甲
忽然,忽然,甲
湖,湖,甲
互相,互相,甲
花,花,甲
化學,化学,甲
畫,画|,甲
畫兒,画儿|儿,甲
話,话,甲
壞,坏,甲
歡迎,欢迎,甲
還,还,甲
還是,还是,甲
換,换,甲
黃,黄,甲
回,回,甲
回答,回答,甲
回來,回来,甲
回去,回去,甲
會,会,甲
會話,会话,甲
活,活,甲
活動,活动,甲
活兒,活儿,甲
火車,火车,甲
或者,或者,甲
機場,机场,甲
機會,机会,甲
機器,机器,甲
雞,鸡,甲
雞蛋,鸡蛋,甲
...極了,...极了,甲
基本,基本,甲
基礎,基础,甲
急,急,甲
集合,集合,甲
幾,几,甲
擠,挤,甲
計劃,计划,甲
記,记,甲
技術,技术,甲
繼續,继续,甲
寄,寄,甲
加,加,甲
家,家,甲
家庭,家庭,甲
堅持,坚持,甲
間,间,甲
檢查,检查,甲
簡單,简单,甲
見,见,甲
見面,见面,甲
件,件,甲
建設,建设,甲
健康,健康,甲
江,江,甲
將來,将来,甲
講,讲,甲
交,交,甲
角,角,甲
餃子,饺子,甲
腳,脚,甲
叫,叫,甲
教,教,甲
教室,教室,甲
教育,教育,甲
接,接,甲
接著,接着,甲
街,街,甲
節,节,甲
節目,节目,甲
節日,节日,甲
結果,结果,甲
結束,结束,甲
姐姐,姐姐,甲
解決,解决,甲
介紹,介绍,甲
借,借,甲
今年,今年,甲
今天,今天,甲
斤,斤,甲
緊,紧,甲
緊張,紧张,甲
近,近,甲
進,进,甲
進來,进来,甲
進去,进去,甲
進行,进行,甲
經常,经常,甲
經過,经过,甲
經濟,经济,甲
經驗,经验,甲
精彩,精彩,甲
精神,精神,甲
九,九,甲
久,久,甲
酒,酒,甲
舊,旧,甲
就,就,甲
橘子,橘子,甲
舉,举,甲
句,句,甲
句子,句子,甲
決定,决定,甲
覺得,觉得,甲
咖啡,咖啡,甲
卡車,卡车,甲
開,开,甲
開始,开始,甲
開玩笑,开玩笑,甲
開學,开学,甲
看,看,甲
看病,看病,甲
看見,看见,甲
考試,考试,甲
科學,科学,甲
棵,棵,甲
咳嗽,咳嗽,甲
可能,可能,甲
可是,可是,甲
可以,可以,甲
渴,渴,甲
克,克,甲
刻,刻,甲
客氣,客气,甲
課,课,甲
課本,课本,甲
課文,课文,甲
空氣,空气,甲
口,口,甲
口語,口语,甲
哭,哭,甲
苦,苦,甲
塊,块,甲
快,快,甲
困難,困难,甲
拉,拉,甲
啦,啦,甲
來,来,甲
藍,蓝,甲
籃球,篮球,甲
勞動,劳动,甲
勞駕,劳驾,甲
老,老,甲
老師,老师,甲
累,累,甲
冷,冷,甲
離,离,甲
離開,离开,甲
禮物,礼物,甲
裡,里,甲
裡邊,里边,甲
歷史,历史,甲
立刻,立刻,甲
利用,利用,甲
例如,例如,甲
倆,俩,甲
連...都...,连...都...,甲
聯繫,联系,甲
臉,脸,甲
練習,练习,甲
涼快,凉快,甲
兩,两,甲
亮,亮,甲
輛,辆,甲
了,了,甲
瞭解,了解,甲
零,零,甲
領導,领导,甲
流,流,甲
留,留,甲
留念,留念,甲
留學生,留学生,甲
六,六,甲
樓,楼,甲
錄音,录音,甲
路,路,甲
旅行,旅行,甲
綠,绿,甲
亂,乱,甲
媽媽,妈妈,甲
麻煩,麻烦,甲
馬,马,甲
馬上,马上,甲
嗎,吗,甲
嘛,嘛,甲
買,买,甲
賣,卖,甲
滿,满,甲
滿意,满意,甲
慢,慢,甲
忙,忙,甲
毛,毛,甲
帽子,帽子,甲
沒,没,甲
沒關係,没关系,甲
沒意思,没意思,甲
沒有,没有,甲
每,每,甲
妹妹,妹妹,甲
門,门,甲
門口,门口,甲
們,们,甲
米,米,甲
米飯,米饭,甲
麵包,面包,甲
麵條兒,面条儿,甲
